------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
收/支                 ,交易对方                ,对方账号                ,商品说明                ,收/付款方式              ,金额                  ,交易状态                ,交易分类                ,交易订单号     ,商家订单号           ,交易时间            ,
其他                  ,华安基金管理有限公司          ,                    ,余额宝-2022.04.21-收益发放 ,余额宝                 ,0.05                ,交易成功                ,投资理财                ,20220422312683412111	,                    	,2022-04-22 02:15:13 ,
其他                  ,华安基金管理有限公司          ,                    ,余额宝-2022.04.20-收益发放 ,余额宝                 ,0.06                ,交易成功                ,投资理财                ,20220421308521387111	,                    	,2022-04-21 05:56:01 ,
支出                  ,南京应天西店              ,shh***@163.com      ,小米椒(鲜)50g/份等多件      ,花呗                  ,52.80               ,交易成功                ,餐饮美食                ,2022042022001183111436084228	,T200P2585833164007821348	,2022-04-20 23:32:34 ,
支出                  ,南京交通一卡通有限公司         ,njc***@163.com      ,公交-01119511-车号[213084] 2022-04-19 17:31:42,花呗                  ,2.00                ,交易成功                ,交通出行                ,2022041922001483111434501964	,22041917312000701122813563895808	,2022-04-19 17:31:45 ,
其他                  ,华安基金管理有限公司          ,ec1***@huaan.com.cn ,余额宝-自动转入            ,余额                  ,998.52              ,交易成功                ,投资理财                ,20220419009130101000110046298276	,20220419009130501000110028586724	,2022-04-19 02:00:35 ,
支出                  ,哈啰出行                ,zij***@hellobike.com,哈啰单车骑行              ,余额                  ,1.48                ,交易成功                ,交通出行                ,2022041822001483111434110744	,CPR22041819495350934894626X	,2022-04-18 19:50:08 ,
收入                  ,玫歆                  ,138******10         ,转账                  ,余额                  ,1000.00             ,交易成功                ,转账红包                ,20220418200040011100350045238298	,                    	,2022-04-18 16:46:19 ,
其他                  ,匹克运动健身旗舰店           ,756***@qq.com       ,退款-匹克跳跳杆儿童长高神器青蛙跳摸高跳高训练器材小孩子长个弹跳器 等多件,花呗                  ,36.00               ,退款成功                ,退款                  ,2022041122001183111426595515_2570964194562821348	,T200P2570964194560821348	,2022-04-16 08:48:29 ,
其他                  ,匹克运动健身旗舰店           ,756***@qq.com       ,退款-匹克跳跳杆儿童长高神器青蛙跳摸高跳高训练器材小孩子长个弹跳器 等多件,花呗                  ,29.90               ,退款成功                ,退款                  ,2022041122001183111426595515_2570964194561821348	,T200P2570964194560821348	,2022-04-16 08:48:19 ,
支出                  ,南京应天西店              ,shh***@163.com      ,珍味小梅园锅盔(梅干菜味)500g/袋等多件,花呗                  ,45.70               ,交易成功                ,餐饮美食                ,2022041522001183111431341977	,T200P2577019464399821348	,2022-04-15 19:31:00 ,
支出                  ,adking旗舰店           ,529***@qq.com       ,【健康节价】语音摸高神器儿童摸高跳计数器长跳高训练器材助长锻炼跳跃青少年,花呗                  ,20.90               ,交易成功                ,运动户外                ,2022041422001183111431307294	,T200P2577206523616821348	,2022-04-14 19:38:03 ,
支出                  ,岳家老铺大药房旗舰店          ,138***@sina.com     ,【健康节价】【买2送1】皮特莫司泽康抑菌洗液新泽康洗发水煤焦油洗剂正品FL,花呗                  ,29.10               ,等待确认收货              ,医疗健康                ,2022041422001183111430403481	,T200P2574678744691821348	,2022-04-14 13:05:51 ,
其他                  ,匹克运动健身旗舰店           ,756***@qq.com       ,退款-匹克跳跳杆儿童长高神器青蛙跳摸高跳高训练器材小孩子长个弹跳器 等多件,花呗                  ,199.00              ,退款成功                ,退款                  ,2022041122001183111426595515_2570964194563821348	,T200P2570964194560821348	,2022-04-14 12:40:53 ,
支出                  ,南京应天西店              ,shh***@163.com      ,毛豆仁 150g/份等多件       ,花呗                  ,46.47               ,交易成功                ,日用百货                ,2022041422001183111429779020	,T200P2575259029040821348	,2022-04-14 09:23:02 ,
支出                  ,南京盒马                ,shh***@163.com      ,羊角蜜甜瓜400g/个等多件      ,花呗                  ,57.60               ,交易成功                ,日用百货                ,2022041422001183111430070092	,T200P2575482014213821348	,2022-04-14 09:21:10 ,
其他                  ,匹克运动健身旗舰店           ,756***@qq.com       ,匹克滑板车儿童3-14岁可坐可骑滑宝宝女孩公主款男童女童滑滑溜溜,                    ,199.00              ,交易关闭                ,母婴亲子                ,2022041422001183111430073597	,T200P2574190476688821348	,2022-04-14 08:40:54 ,
支出                  ,韩方五谷旗舰店             ,pyx***@163.com      ,【健康节价】除螨洗发水控油蓬松去屑止痒正品官方品牌旗舰店洗头膏露套装男女,花呗                  ,23.00               ,等待确认收货              ,美容美发                ,2022041222001183111429037568	,T200P2573867271120821348	,2022-04-12 21:26:58 ,
